game,n_rule_lines,rule_late,rule_random,rule_rigid,rule_dir_horizontal,rule_dir_vertical,rule_dir_fixed,rule_grouped,cell_no,cell_stationary,cell_moving,cell_perpendicular,cell_parallel,cell_orthogonal,cell_randomdir,cell_random,cell_action,cell_ellipsis,cell_arrows,cmd_win,cmd_cancel,cmd_restart,cmd_again,cmd_checkpoint,cmd_message,cmd_sfx,rule_multicell_max,rule_multipattern,startloop,pre_run_rules_on_level_start,pre_noaction,pre_norepeat_action,pre_throttle_movement,pre_noundo,pre_norestart,pre_realtime_interval,pre_zoomscreen,pre_flickscreen,pre_require_player_movement,n_messages,legend_or,legend_and,n_sounds,n_objects,n_layers,n_player_objects,n_rule_groups,n_rules_compiled,n_late_groups,n_late_rules_compiled,n_rule_sources,n_random_rules,n_rules_with_commands,n_rules_ellipsis,rigid,has_loop,pattern_max_cells,pattern_mean_cells,pattern_max_rows,rep_moves,rep_creates,rep_clears,n_winconditions,win_no,win_some,win_all,win_on,n_levels,level_mean_area,level_max_area,n_collision_layers,mean_solution_len,max_solution_len,mean_search_iters,frac_solved
Turing_Machine,6.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,8.0,4.0,1.0,5.0,11.0,1.0,1.0,6.0,0.0,0.0,8.0,0.0,0.0,4.0,3.25,1.0,0.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,99.0,99.0,4.0,0.0,0,63000.0,0.0
Turn-based_Pac-man,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,8.0,1.0,11.0,13.0,3.0,8.0,10.0,28.0,4.0,4.0,14.0,0.0,16.0,4.0,0.0,0.0,3.0,2.0,1.0,8.0,48.0,52.0,1.0,1.0,0.0,0.0,1.0,8.0,229.5,289.0,3.0,0.0,0,27375.0,0.0
TwinPush,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,3.0,1.0,2.0,8.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,2.0,1.5,1.0,12.0,12.0,12.0,1.0,0.0,0.0,1.0,1.0,4.0,390.0,390.0,3.0,15.0,15,12921.0,0.25
Twin_Drop,35.0,12.0,0.0,0.0,1.0,0.0,12.0,3.0,30.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,11.0,8.0,17.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,12.0,2.0,7.0,25.0,5.0,1.0,20.0,49.0,12.0,23.0,35.0,0.0,7.0,4.0,0.0,0.0,4.0,1.9213483146067416,3.0,35.0,111.0,145.0,2.0,1.0,1.0,0.0,2.0,1.0,204.0,204.0,5.0,0.0,0,15000.0,0.0
"Twinkle,_Twinkle_Little_Square",44.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,12.0,13.0,1.0,0.0,0.0,0.0,1.0,2.0,62.0,0.0,20.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,28.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,9.0,11.0,3.0,6.0,19.0,5.0,1.0,44.0,78.0,0.0,0.0,44.0,0.0,24.0,0.0,0.0,0.0,3.0,1.2679738562091503,7.0,55.0,119.0,147.0,1.0,1.0,0.0,0.0,1.0,8.0,361.0,361.0,5.0,33.333333333333336,47,11701.875,0.375
Two-Bit's_Sacraficial_Adventure,14.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,4.0,2.0,17.0,24.0,12.0,3.0,3.0,12.0,11.0,39.0,14.0,0.0,15.0,32.0,0.0,0.0,3.0,2.7254901960784315,1.0,24.0,85.0,86.0,7.0,6.0,0.0,1.0,7.0,14.0,354.35714285714283,594.0,12.0,44.333333333333336,108,4459.428571428572,0.6428571428571429
Two-faced,67.0,8.0,0.0,0.0,13.0,13.0,10.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,13.0,0.0,11.0,29.0,13.0,4.0,59.0,140.0,8.0,8.0,67.0,0.0,24.0,0.0,0.0,1.0,3.0,1.8176100628930818,2.0,60.0,229.0,245.0,2.0,0.0,0.0,2.0,2.0,9.0,86.11111111111111,135.0,13.0,28.0,41,19672.444444444445,0.3333333333333333
Two_level_puzzle,24.0,6.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,13.0,11.0,23.0,6.0,2.0,18.0,36.0,6.0,6.0,24.0,0.0,15.0,0.0,0.0,0.0,2.0,1.5952380952380953,1.0,24.0,45.0,55.0,1.0,1.0,0.0,0.0,1.0,3.0,109.33333333333333,121.0,6.0,0.0,0,39333.333333333336,0.0
Ultimate_Sokoban_Supreme,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,18.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,3.0,6.0,4.0,1.0,6.0,24.0,3.0,3.0,9.0,0.0,3.0,12.0,0.0,1.0,4.0,2.7777777777777777,1.0,36.0,48.0,60.0,1.0,0.0,0.0,1.0,1.0,10.0,94.6,140.0,4.0,6.6,10,19900.2,0.5
Un-Lock,36.0,27.0,0.0,0.0,0.0,0.0,3.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,16.0,1.0,7.0,28.0,13.0,2.0,9.0,18.0,27.0,45.0,36.0,0.0,11.0,0.0,0.0,0.0,2.0,1.4642857142857142,2.0,20.0,104.0,109.0,0.0,0.0,0.0,0.0,0.0,1.0,576.0,576.0,13.0,0.0,0,2000.0,0.0
