game,compiled,random,n_levels,n_solved,n_timeout,max_len,mean_len,max_iters,error
the_gods_await_me,1,1,1,1,0,3,3.0,8,
the_saga_of_the_candy_scroll,1,0,30,8,22,26,12.2,33000,
the_undertaking,1,0,38,34,0,32,7.0,70,
the_walls_are_closing_in_on_me,1,0,10,4,6,16,10.2,55000,
threes,1,1,1,0,1,0,0,7000,
tiny treasure hunt,1,1,7,0,7,0,0,1000,
tiny_treasure_hunt_1.1,1,1,7,0,7,0,0,24000,
tunnel rat,1,1,2,0,2,0,0,2000,
twolittlecrates1,1,0,1,0,0,0,0,100000,
twolittlecrates2,1,0,1,0,1,0,0,58000,
twolittlecrates3,1,0,1,0,1,0,0,57000,
twolittlecrates4,1,0,1,0,1,0,0,57000,
wall_scout,1,0,4,3,0,36,20.0,1060,
watch_your_step,1,0,1,0,1,0,0,57000,
whaleworld,1,0,8,4,4,61,39.5,10000,
where_did_all_this_ice_come_from_,1,0,14,9,5,62,33.4,44000,
window_hero,1,0,9,0,6,0,0,100000,
wordgame,1,0,1,1,0,14,14.0,15875,
wrappingrecipe,1,0,1,0,0,0,0,25,
zelda_fan_game,1,0,10,7,2,42,21.3,64000,
zenpuzzlegarden,1,0,5,0,5,0,0,51000,
zokoban,1,1,1,0,1,0,0,10000,
~~_PWARE_SKEG_v1.1_~~,1,0,6,6,0,88,37.0,1256,
🍡_-ooo-_🍡,1,0,8,2,6,32,20.0,21000,
