game,compiled,random,n_levels,n_solved,n_timeout,max_len,mean_len,max_iters,error
Count_Mover,1,0,1,0,1,0,0,20000,
Crafting_Table,1,0,4,3,1,13,9.0,58000,
CrateBlob,1,1,10,3,7,27,17.7,1000,
Crate_Game_Five,1,0,5,4,1,33,13.5,2000,
Crate_Rotate,1,0,11,11,0,36,17.3,1583,
Crates_and_Portals,1,0,30,5,20,43,23.8,14000,
Crocodiles_Love_Cookies,1,0,12,0,12,0,0,23000,
Cross_All_Logs,1,0,0,0,0,0,0,0,"engine: [json.exception.type_error.302] type must be number, but is null"
Crypt_of_the_Necrodancer__DEMAKE_,1,0,1,0,0,0,0,6,
Cuddlefish,1,0,1,0,1,0,0,19000,
Cyberbox,1,0,17,6,11,40,23.2,19000,
Cyberpunk_2020,1,0,5,5,0,26,22.0,7946,
DASH_2,1,1,7,0,7,0,0,3000,
Dang_I'm_Huge,1,0,0,0,0,0,0,0,"engine: [json.exception.type_error.302] type must be number, but is null"
Dangerous_Dungeon,1,1,10,6,4,18,11.0,3000,
Dark_Maze_3,1,1,1,1,0,8,8.0,19,
Darkness_Sokoban,1,0,2,2,0,15,14.5,877,
Darn_gifs_for_my_game,0,1,0,0,0,0,0,0,Cannot read properties of undefined (reading 'length')
Dash_Boulder,1,0,5,0,5,0,0,26000,
Dating_Queens,1,0,5,0,5,0,0,7000,
Dead_Grass,1,0,8,4,4,28,23.8,74000,
Deadly_Cat_Maze,1,0,1,0,1,0,0,18000,
Decker_GO,0,0,0,0,0,0,0,0,hang: exceeded 600.0s wall clock
Delicious_Ships!,1,0,15,9,6,31,14.8,33000,
Deltarune_block_pushing_game,1,0,1,1,0,20,20.0,4771,
Depth-First_Maze,1,1,1,0,0,0,0,996,
Deserted_Island,1,0,5,5,0,12,8.2,2164,
Detroit__Become_Immense,1,0,1,1,0,38,38.0,1606,
Dharma_Dojo_demake,1,1,5,0,5,0,0,6000,
Diagonal_Block_Pushing_Prototype,1,0,3,1,2,10,10.0,11000,
Diamond_Mine,1,0,8,1,7,68,68.0,8000,
Dinosaur_Love_Story,1,0,22,11,11,30,18.9,34000,
Dinosaur_Love_Story_Bonus_Levels,1,0,6,2,4,27,20.0,10000,
Directioban,1,0,6,2,2,15,9.5,60000,
Do_You_Want_to_Build_a_Snowman_,1,0,12,1,11,28,28.0,6000,
"Dogs,_dogs_and_additional_dogs",1,1,1,1,0,3,3.0,5,
Doktor_Lezer,1,0,16,10,4,24,13.2,4000,
Don't_Die,1,0,6,3,3,23,11.7,15000,
Don't_Play_On_the_Ice,1,0,11,3,8,24,18.0,14000,
Doors_and_Boxes,1,0,10,5,5,28,13.4,18000,
Dot_Puzzle_3.1,1,0,19,15,4,32,19.1,42000,
Dotsnake,1,0,12,5,7,28,21.2,41000,
Dragon_Quest,1,1,10,3,7,26,13.3,32000,
Drainage,1,1,1,0,1,0,0,2000,
Dreaming_of_Strawberries,1,0,7,2,5,33,21.5,20000,
Drop_Kick,1,1,37,14,23,19,13.7,7000,
Drop_Maze,1,0,5,5,0,11,9.8,570,
Drop_Swap,1,1,5,0,5,0,0,23000,
Dull_Pacman_Clone,1,1,1,0,1,0,0,12000,
Dungeon_Generator_V_-_Key_Hunt_edition,1,1,1,0,1,0,0,3000,
Dungeon_Janitor,1,1,4,1,3,5,5.0,18000,
Dungeon_Walk_II__Stephen's_Delight,1,0,1,0,0,0,0,120,
Duplex,1,0,6,6,0,20,12.0,5063,
ESCAPE!,1,0,5,4,1,27,18.5,20000,
ESL_Puzzle_Game_--_CHALLENGE_MODE_アダムのパズルゲーム,1,0,10,2,8,35,34.5,39000,
Easy_Enigma,1,1,21,16,5,26,5.3,2000,
Ebony_&_Ivory,1,0,1,1,0,12,12.0,2272,
Electric_Slide,1,0,3,1,2,29,29.0,27000,
Elementals,1,1,4,1,3,6,6.0,3000,
Elements,1,0,0,0,0,0,0,0,"engine: [json.exception.type_error.302] type must be number, but is null"
Elimination,1,0,20,4,16,22,15.8,10000,
Emerita,1,1,16,4,12,23,15.5,32000,
Enqueue,1,0,14,9,5,36,14.1,13000,
EntrepotPhage_Demake,1,0,30,2,28,37,27.0,14000,
EpicJamGame,1,0,7,4,3,41,31.2,21000,
Escape_The_Haunted_Mansion,1,0,3,2,1,19,13.5,12000,
Escape_the_Void_Full_,1,0,17,17,0,82,38.5,21803,
Escaping_Limbo,1,0,9,8,0,62,22.9,10494,
Eschoban,1,0,6,4,1,23,10.0,7000,
Every_Three_Steps_You_Hit_a_Wall_Out_of_Nowhere,1,0,2,1,1,25,25.0,27000,
Everything_Antimatters,1,0,11,5,6,18,14.6,56000,
Exercice_de_Style,1,0,0,0,0,0,0,0,"engine: [json.exception.type_error.302] type must be number, but is null"
Explod,1,0,10,5,5,29,22.0,34000,
Eyes_On_You,1,0,2,2,0,13,12.0,442,
FACED,1,0,26,6,20,12,5.2,14000,
FROWN_INVERSION_SQUAD,0,0,0,0,0,0,0,0,child rc=-11: 
FS_Game_Dev_Workshop,1,0,1,0,1,0,0,5000,
FULL_CIRCLE,1,0,0,0,0,0,0,0,"engine: [json.exception.type_error.302] type must be number, but is null"
Fabric,1,0,13,8,5,99,25.9,18000,
Fall_Leaves_,1,0,7,0,7,0,0,28000,
Fallow_Land,1,0,14,2,12,10,10.0,45000,
Fast_Forward,1,0,15,10,5,23,12.4,17000,
Feed_Me_Through_A_Straw,1,1,31,6,25,34,11.7,11000,
Festive_Lights,1,1,10,3,7,14,12.0,46000,
Fi_&_BOXES!!!,1,1,1,0,1,0,0,5000,
